Nom,ID,X,Y,Z
TESTCO 2251,44714,-4696.555019946059,851.0704050752915,4819.922943783645
COSMOS 2251 DEB,33757,-4658.380025397234,4192.7545008274565,3479.6254003281583
COSMOS 2251 DEB,33758,956.0610773472513,2587.842801125823,-6530.939409973388
COSMOS 2251 DEB,33760,2314.185545552055,-1553.1553793997027,6579.785784331954
COSMOS 2251 DEB,33761,-2942.303112481629,-3330.7724743315944,-5558.984052576358
COSMOS 2251 DEB,33762,5088.080414144341,-4482.628113385957,2268.5593910157036
COSMOS 2251 DEB,33764,1888.5969360898816,-3088.224943377995,6154.67533933264
COSMOS 2251 DEB,33765,-1231.519143819277,4374.9061916371165,-5199.326786822881
COSMOS 2251 DEB,33766,4865.376922214478,-2343.67352939123,-4667.497084801959
COSMOS 2251 DEB,33768,-1807.1051416108066,-5447.699038001922,-4475.129632030387
COSMOS 2251 DEB,33779,-6188.886227837696,3042.5055931365964,1375.2064347373948
COSMOS 2251 DEB,33782,-1117.0294649050911,6951.512732880687,-1199.8671018541745
COSMOS 2251 DEB,33785,-3622.99848676048,-4159.579703985735,-4354.212931041657
COSMOS 2251 DEB,33789,2333.825491956717,-353.2272247084516,-6867.037306374598
COSMOS 2251 DEB,33791,5750.4406619213,4168.924097942578,-799.4705398450285
COSMOS 2251 DEB,33792,4186.403743394399,570.4199062708504,-6366.193306126289
COSMOS 2251 DEB,33793,1140.3551913886927,-2630.9591690896527,6625.723223897952
COSMOS 2251 DEB,33795,3470.415431948299,3827.266729789483,4540.684738899295
COSMOS 2251 DEB,33797,-5242.430434693224,-3367.7823756905127,-3440.75670029472
COSMOS 2251 DEB,33798,569.2623810129653,2222.027657790952,-6728.642846693046
COSMOS 2251 DEB,33799,1523.9297124430814,-1166.8180183759719,-6747.145059550041
COSMOS 2251 DEB,33805,1277.5798247813982,-5044.432325091123,-4839.932354484115
COSMOS 2251 DEB,33811,-2453.3736861307725,-2392.1911254005663,-5977.793550329515
COSMOS 2251 DEB,33816,-3445.8454906101947,5226.10004552502,-4129.8407932814835
COSMOS 2251 DEB,33818,-2535.855762521686,6186.357794921295,-1449.125948031726
COSMOS 2251 DEB,33819,-5771.511657156961,-4128.535254351703,-367.157386285896
COSMOS 2251 DEB,33821,-1761.4539562699777,-4183.214477110121,5077.404083607508
COSMOS 2251 DEB,33822,-842.1733016290201,1794.436222414575,-6895.215640567706
COSMOS 2251 DEB,33823,-7138.8871949166605,1507.3194714990773,496.3236576250796
COSMOS 2251 DEB,33825,6721.826059848307,1295.1931290836937,1586.1598877297786
COSMOS 2251 DEB,33826,-4870.873277805483,-4993.294134795559,-1552.043815478852
COSMOS 2251 DEB,33828,-4073.0657975324693,-5845.534963491541,140.48946526387354
COSMOS 2251 DEB,33830,-6178.5588588408245,-3273.5285008941305,491.3314124090787
COSMOS 2251 DEB,33832,1817.750099120398,2446.1672855365173,-6369.466668403719
COSMOS 2251 DEB,33835,-370.4274321160213,-7050.079649037894,46.84817937937057
COSMOS 2251 DEB,33836,2781.1350628096748,591.7569170077385,6383.02153743873
COSMOS 2251 DEB,33837,-4091.2284989884656,-5403.751683275309,-2053.7347492473073
COSMOS 2251 DEB,33838,-1586.9834452408754,3299.988018624583,-6094.430885759439
COSMOS 2251 DEB,33839,-5837.294874324558,4.729009379975969,-3935.8863316207335
COSMOS 2251 DEB,33841,1743.6315139377725,-6365.3059856602,2715.885606708037
COSMOS 2251 DEB,33842,4712.772705837431,1722.523052893514,5094.261445777675
COSMOS 2251 DEB,33844,806.6112445831942,-2247.358258495548,-6777.291474741091
COSMOS 2251 DEB,33848,-4397.664499162121,1978.551583139993,5252.3624269007605
COSMOS 2251 DEB,33892,-1453.3786921068245,6897.969935519845,-1603.4210014700716
COSMOS 2251 DEB,33894,-2905.0942679695986,-5067.573326518583,-4630.662291604266
COSMOS 2251 DEB,33896,1127.0512638622404,1722.1176261554988,-6838.018160686828
COSMOS 2251 DEB,33899,2763.4485872582427,5666.705008973261,-3229.4816551612125
COSMOS 2251 DEB,33900,-2381.867047935446,-1405.9617453474066,-6553.430332789667
COSMOS 2251 DEB,33901,5482.72637101753,-2413.861624288039,-3200.0074925702347
COSMOS 2251 DEB,33905,5101.960488190451,-5066.947141720926,45.54103448612345
COSMOS 2251 DEB,33906,-4752.533484048401,4790.739182572675,-2145.739438556447
COSMOS 2251 DEB,33907,5355.361615902401,2861.6469998856264,-3782.0520576021886
