Nom,ID,X,Y,Z
STARLINK-1008,44714,2413.9638187493583,-3637.085738871945,-5212.661202495935
STARLINK-1012,44718,3840.7133225380576,-1427.3556702240762,-5425.266633058951
STARLINK-1017,44723,2020.3113937270684,6323.376149449846,1665.9062794205258
STARLINK-1020,44725,635.4472479275637,6748.940681772943,36.206125610629435
STARLINK-1036,44741,-3235.372628770161,-5767.7153560224615,-1299.6529250716278
STARLINK-1039,44744,-3509.465745062516,-2335.05189858835,5394.949264053619
STARLINK-1042,44747,-5332.39574675734,-338.7074584849014,-4183.219089205057
STARLINK-1043,44748,-3404.4894428508433,2213.2419953153544,5390.021788508411
STARLINK-1046,44751,2805.1406032517216,5320.228412856451,-3136.267538847978
STARLINK-1047,44752,1452.7931338025935,4928.046124698583,4506.439628046863
STARLINK-1048,44753,-6010.186317776465,-2258.6287720530204,2044.4258827118924
STARLINK-1063,44768,1360.5300459081436,-6656.674188554112,-10.040874293434491
STARLINK-1067,44771,944.3629745356329,-5258.893765024735,-4069.055815438172
STARLINK-1068,44772,-4770.79095969506,634.5257257216504,4676.859938612039
STARLINK-1114,44927,-6380.160368931097,-215.84356785112575,-2190.416173150377
STARLINK-1123,44930,2786.113518081342,5569.0340394136265,-2665.050619682385
STARLINK-1094,44941,-2470.4691364759788,3373.428567326602,-5342.437045089076
STARLINK-1122,44949,3727.434804100247,4332.566955700519,-3658.2658918617512
STARLINK-1080,44961,-6216.871925547378,556.5272282055812,2534.4444442454555
STARLINK-1090,44968,5849.198177041311,-1480.5526520618882,3111.1082738556765
STARLINK-1132,45044,352.4037344391392,-5333.673686752254,4151.108119907769
STARLINK-1131,45047,542.7725131059668,4074.138702745893,-5405.448303088969
STARLINK-1134,45048,3080.660191470362,2943.9032518553927,-5263.86044927743
STARLINK-1156,45054,5933.456226161866,1285.591875153895,-3157.5824229855734
STARLINK-1166,45060,948.9424184853306,4164.839214958869,-5250.65249258013
STARLINK-1169,45061,5991.178309533552,-2718.2804772456307,1828.6334464769461
STARLINK-1171,45062,-4248.744492563321,402.62849962297383,5178.492295945181
STARLINK-1133,45064,-6036.143358945579,2961.057133855473,1216.6647061928536
STARLINK-1167,45071,-1652.076055939823,-3793.041313954258,5423.723445445732
STARLINK-1168,45072,2284.844681870882,-5079.746271009357,3954.1461442595346
STARLINK-1172,45074,-5896.705799607874,3258.791379176349,1074.688624416134
STARLINK-1153,45080,6000.447281394443,-2973.586736746915,-1364.9696026241932
STARLINK-1151,45081,-3694.9439534201942,-1942.5485659391838,5206.2854682078605
STARLINK-1185,45087,-1919.8263915079428,-3998.7005986627396,5146.294545386712
STARLINK-1183,45088,5055.509504708775,-618.4569918045569,-4572.293263602577
STARLINK-1152,45096,-1476.8167340801945,-6527.16349090257,1159.1397257640656
STARLINK-1184,45098,-4300.266940423048,-1738.6653120257458,5094.033676886014
